"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C6";"C_0805_2012Metric";1;"100n";;;
2;"U10";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADT7410";;;
3;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
4;"R20";"R_0805_2012Metric";1;"R_0805_2.2K";;;
5;"C16,C2,C9,C14,C12";"C_0805_2012Metric";5;"C_0805_0.1uf";;;
6;"C15,C17";"C_0805_2012Metric";2;"C_0805_10uf";;;
7;"TP3,TP1,TP4,TP2";"TestPoint_THTPad_D2.0mm_Drill1.0mm";4;"TestPoint";;;
8;"J1";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
9;"R7";"R_0805_2012Metric";1;"10K";;;
10;"R2,R1,R17,R16";"R_0805_2012Metric";4;"R_0805_10K";;;
11;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
12;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
13;"C7,C8";"C_0805_2012Metric";2;"22p";;;
14;"Y1";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal";;;
15;"U3";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
16;"D2";"KWM-30881CVB";1;"KWM-30881XVB";;;
17;"R6,R5";"R_0805_2012Metric";2;"R_0805_4.7K";;;
18;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
19;"R21,R10";"R_0805_2012Metric";2;"R_0805_22K";;;
20;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
21;"U2";"TO-252-2";1;"L7805";;;
22;"DS5";"Adafruit-1001-0-0-MFG";1;"LED_Display_1001";;;
23;"SW1,SW2,SW3";"SW_SPST_Omron_B3FS-100xP";3;"Omron_B3F_SPST";;;
24;"J5";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
25;"U6,U4";"DIP-24_W7.62mm";2;"MAX7219";;;
26;"R13,R12";"R_0805_2012Metric";2;"R_0805_47";;;
27;"C1";"C_0805_2012Metric";1;"C_0805_1uf";;;
28;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
